Time [s]	Temp. [ C]	E1	E3	E4	F1	F3	F4	G1	G3	G4	Time_hs	Time
18600.2	   29.1	 6952.0	15216.0	17259.0	 6985.0	13035.0	17851.0	 7021.0	18711.0	18926.0	5.166722222222222	5.16672222222222
18900.2	   29.3	 6981.0	14960.0	17521.0	 6881.0	12675.0	18247.0	 7059.0	19024.0	19189.0	5.250055555555556	5.25005555555556
19200.2	   29.1	 6944.0	14710.0	17372.0	 6969.0	12525.0	18163.0	 7058.0	18549.0	18635.0	5.333388888888889	5.33338888888889
19500.2	   29.5	 6985.0	14861.0	17577.0	 6893.0	12352.0	17937.0	 7087.0	18723.0	18966.0	5.416722222222222	5.41672222222222
19800.2	   29.3	 6983.0	14590.0	17425.0	 6847.0	12497.0	17704.0	 7070.0	18446.0	18681.0	5.500055555555556	5.50005555555556
20100.2	   29.1	 6896.0	14502.0	17425.0	 6917.0	12697.0	17850.0	 6902.0	18467.0	18666.0	5.583388888888889	5.58338888888889
20400.2	   29.2	 6843.0	14667.0	17186.0	 6970.0	12624.0	17881.0	 7006.0	18215.0	18800.0	5.666722222222222	5.66672222222222
20700.3	   29.1	 6934.0	14538.0	17485.0	 7004.0	12242.0	17922.0	 7100.0	18430.0	18761.0	5.750083333333333	5.75008333333333
21000.2	   29.2	 7032.0	14561.0	17699.0	 6695.0	12116.0	17696.0	 6961.0	18382.0	18846.0	5.833388888888889	5.83338888888889
21300.3	   29.1	 6903.0	14464.0	17234.0	 6906.0	12598.0	17708.0	 7070.0	18376.0	18735.0	5.9167499999999995	5.91675
21600.3	   29.1	 6866.0	14271.0	17171.0	 6817.0	12317.0	17850.0	 6977.0	18466.0	18754.0	6.000083333333333	6.00008333333333
21900.3	   29.1	 6897.0	14330.0	17405.0	 6906.0	12589.0	17544.0	 6948.0	18284.0	18969.0	6.0834166666666665	6.08341666666667
22200.3	   29.3	 6895.0	14161.0	17269.0	 6863.0	12449.0	17865.0	 6930.0	18186.0	18713.0	6.1667499999999995	6.16675
22500.3	   29.5	 6985.0	13858.0	17505.0	 6767.0	12210.0	17268.0	 6980.0	17916.0	18801.0	6.250083333333333	6.25008333333333
22800.3	   29.2	 6956.0	13995.0	17479.0	 6749.0	12159.0	17738.0	 6847.0	18303.0	18452.0	6.3334166666666665	6.33341666666667
23100.3	   29.4	 6854.0	14500.0	17648.0	 6716.0	12059.0	17488.0	 7038.0	18260.0	18572.0	6.4167499999999995	6.41675
23400.3	   29.4	 6775.0	14363.0	17431.0	 6864.0	11920.0	17542.0	 6987.0	18113.0	18319.0	6.500083333333333	6.50008333333333
23700.3	   29.3	 6812.0	13816.0	17258.0	 6767.0	11901.0	17379.0	 6962.0	17967.0	18454.0	6.5834166666666665	6.58341666666667
24000.3	   29.3	 6807.0	14142.0	17362.0	 6836.0	12451.0	17628.0	 6864.0	17978.0	18594.0	6.6667499999999995	6.66675
24300.3	   29.1	 6894.0	13770.0	17388.0	 7101.0	12064.0	17424.0	 6975.0	18174.0	18710.0	6.750083333333333	6.75008333333333
24600.3	   29.2	 6885.0	13830.0	17580.0	 6846.0	11781.0	17840.0	 6923.0	17747.0	18984.0	6.8334166666666665	6.83341666666667
24900.3	   29.1	 6926.0	13711.0	17243.0	 6883.0	11629.0	17408.0	 6929.0	18227.0	19011.0	6.9167499999999995	6.91675
25200.3	   29.3	 6969.0	13910.0	17144.0	 6876.0	12056.0	17547.0	 7071.0	18290.0	18641.0	7.000083333333333	7.00008333333333
25500.3	   29.2	 6859.0	13760.0	17132.0	 6774.0	11721.0	17648.0	 6938.0	18289.0	18711.0	7.0834166666666665	7.08341666666667
25800.3	   29.1	 6926.0	13365.0	17017.0	 6755.0	11779.0	17707.0	 6984.0	17376.0	18516.0	7.1667499999999995	7.16675
26100.3	   29.2	 6872.0	13530.0	17184.0	 6734.0	11803.0	17386.0	 6989.0	17910.0	18368.0	7.250083333333333	7.25008333333333
26400.3	   29.3	 6932.0	13867.0	17280.0	 6789.0	11870.0	17545.0	 6858.0	18027.0	18381.0	7.3334166666666665	7.33341666666667
26700.3	   29.3	 6783.0	13817.0	16921.0	 6938.0	12210.0	17019.0	 7017.0	18210.0	18433.0	7.4167499999999995	7.41675
27000.3	   29.2	 6960.0	14009.0	16998.0	 6885.0	11772.0	17368.0	 6877.0	17949.0	18794.0	7.500083333333333	7.50008333333333
27300.3	   29.3	 6813.0	14018.0	17002.0	 6823.0	11806.0	17296.0	 6946.0	17750.0	18706.0	7.5834166666666665	7.58341666666667
27600.3	   29.2	 6812.0	13997.0	16990.0	 6837.0	11481.0	17453.0	 6858.0	17809.0	18716.0	7.6667499999999995	7.66675
27900.3	   29.3	 6889.0	14016.0	17045.0	 6662.0	11772.0	17465.0	 6928.0	17518.0	18906.0	7.750083333333333	7.75008333333333
28200.3	   29.3	 6939.0	13665.0	17198.0	 6899.0	11938.0	17314.0	 6941.0	17691.0	18738.0	7.8334166666666665	7.83341666666667
28500.3	   29.3	 6773.0	14163.0	17271.0	 6817.0	11394.0	17387.0	 6880.0	17454.0	18583.0	7.9167499999999995	7.91675
28800.3	   29.2	 6972.0	14004.0	17174.0	 6907.0	11668.0	17494.0	 6882.0	18086.0	18590.0	8.000083333333333	8.00008333333333
29100.3	   29.2	 6892.0	13816.0	17192.0	 6789.0	11736.0	17345.0	 6859.0	17867.0	18536.0	8.083416666666666	8.08341666666667
29400.3	   29.3	 7042.0	13823.0	17013.0	 6921.0	11972.0	17390.0	 6984.0	17970.0	18451.0	8.16675	8.16675
29700.3	   29.4	 6945.0	13869.0	17138.0	 6869.0	11532.0	17627.0	 6902.0	17824.0	18441.0	8.250083333333333	8.25008333333333
30000.3	   29.2	 6896.0	13831.0	17256.0	 6866.0	11435.0	17521.0	 6933.0	17970.0	18095.0	8.333416666666666	8.33341666666667
30300.3	   29.2	 6937.0	13997.0	17247.0	 6979.0	11738.0	17091.0	 6870.0	17872.0	18556.0	8.41675	8.41675
30600.3	   29.3	 6946.0	13494.0	17360.0	 6825.0	11624.0	17241.0	 6911.0	18100.0	18275.0	8.500083333333333	8.50008333333333
30900.3	   29.1	 6852.0	13732.0	16957.0	 6664.0	11767.0	17027.0	 6934.0	18052.0	18228.0	8.583416666666666	8.58341666666667
31200.3	   29.3	 6803.0	13444.0	17133.0	 6873.0	11629.0	17379.0	 6907.0	18179.0	18382.0	8.66675	8.66675
31500.3	   29.5	 6986.0	13602.0	17239.0	 6813.0	11628.0	16952.0	 6936.0	18053.0	18529.0	8.750083333333333	8.75008333333333
31800.3	   29.3	 6703.0	13426.0	17142.0	 6919.0	11671.0	17295.0	 7048.0	17991.0	17984.0	8.833416666666666	8.83341666666667
32100.3	   29.1	 6802.0	13615.0	17346.0	 6711.0	11932.0	17199.0	 6983.0	17990.0	18166.0	8.91675	8.91675
32400.3	   29.1	 6843.0	13549.0	17195.0	 6652.0	11550.0	17161.0	 7000.0	17785.0	18309.0	9.000083333333333	9.00008333333333
32700.3	   29.3	 6921.0	13590.0	17028.0	 6760.0	11984.0	17123.0	 6933.0	17924.0	18514.0	9.083416666666666	9.08341666666667
33000.3	   29.3	 6812.0	13514.0	16964.0	 6912.0	11634.0	17162.0	 6887.0	17870.0	18440.0	9.16675	9.16675
